arm_x,arm_y,arm_lower,arm_upper,bd3lm_x,bd3lm_y,bd3lm_lower,bd3lm_upper,mdlm_x,mdlm_y,mdlm_lower,mdlm_upper,niu_x,niu_y,niu_lower,niu_upper
1.0,28.70171878926329,27.061103257790812,30.342334320735766,1.0,26.28296593132543,25.3827629725316,27.183168890119255,1.0,26.94409209334413,25.738646731810793,28.149537454877464,1.0,28.51301925801946,27.06462237900113,29.961416137037794
1.4974874371859297,28.819290573280092,27.19405380588573,30.444527340674455,1.4974874371859297,26.37922247571992,25.48769679951868,27.27074815192116,1.4974874371859297,27.09525542737452,25.90110964180426,28.28940121294478,1.4974874371859297,28.645639154464522,27.210819224747596,30.08045908418145
1.9949748743718594,28.934521015803618,27.324507671436074,30.544534360171163,1.9949748743718594,26.474465901440027,25.591532866012844,27.35739893686721,1.9949748743718594,27.244627884279026,26.061667537540906,28.427588231017147,1.9949748743718594,28.775890370493492,27.354510249175934,30.19727049181105
2.492462311557789,29.047429508676956,27.452484246284936,30.642374771068976,2.492462311557789,26.568701977639368,25.694276941167722,27.443127014111013,2.492462311557789,27.392221249486845,26.22033220444992,28.56411029452377,2.492462311557789,28.903791512299296,27.495714058479074,30.31186896611952
2.9899497487437188,29.158035443743195,27.578002922275406,30.738067965210984,2.9899497487437188,26.661936473471577,25.79593479413694,27.527938152806215,2.9899497487437188,27.538047308427174,26.377115427960504,28.698979188893844,2.9899497487437188,29.029361186074848,27.634449258849926,30.42427311329977
3.487437185929648,29.266358212845425,27.701083091250574,30.831633334440276,3.487437185929648,26.754175158090273,25.89651219407412,27.611838122106427,3.487437185929648,27.682117846529223,26.53202899350187,28.832206699556576,3.487437185929648,29.15261799801307,27.770734456481417,30.534501539544724
3.9849246231155777,29.372417207826736,27.821744145053525,30.923090270599946,3.9849246231155777,26.845423800649087,25.996014910132892,27.69483269116528,3.9849246231155777,27.82444464922219,26.685084686503213,28.963804611941168,3.9849246231155777,29.273580554306882,27.904588257566463,30.6425728510473
4.482412060301508,29.476231820530217,27.940005475527357,31.012458165533076,4.482412060301508,26.93568817030164,26.094448711466878,27.7769276291364,4.482412060301508,27.96503950193528,26.836294292393738,29.09378471147682,4.482412060301508,29.39226746114921,28.036029268297987,30.748505654000432
4.9798994974874375,29.577821442798957,28.05588647451515,31.099756411082762,4.9798994974874375,27.024974036201556,26.191819367229705,27.858128705173407,4.9798994974874375,28.103914190097694,26.985669596602648,29.22215878359274,4.9798994974874375,29.508697324732967,28.16507609486891,30.852318554597026
5.477386934673366,29.67720546647605,28.169406533860005,31.185004399092094,5.477386934673366,27.11328716750247,26.288132646575,27.93844168842994,5.477386934673366,28.241080499138636,27.133222384559147,29.348938613718126,5.477386934673366,29.62288875125108,28.29174734347215,30.954030159030008
